iter	Passed	Remaining
0	75	75664
1	103	51709
2	118	39280
3	146	36393
4	159	31688
5	173	28784
6	190	27060
7	206	25630
8	223	24628
9	292	28996
10	351	31622
11	383	31607
12	431	32749
13	524	36953
14	556	36567
15	581	35753
16	614	35512
17	659	35962
18	711	36712
19	779	38198
20	826	38518
21	865	38471
22	896	38063
23	950	38659
24	976	38089
25	1010	37868
26	1072	38650
27	1108	38496
28	1171	39212
29	1218	39386
30	1284	40159
31	1346	40736
32	1385	40588
33	1444	41047
34	1481	40853
35	1518	40673
36	1557	40543
37	1597	40450
38	1637	40361
39	1673	40153
40	1701	39803
41	1749	39911
42	1773	39471
43	1794	38999
44	1834	38923
45	1864	38672
46	1892	38364
47	1929	38276
48	1962	38086
49	1985	37723
50	2010	37419
51	2043	37255
52	2086	37283
53	2129	37300
54	2165	37200
55	2196	37031
56	2242	37100
57	2277	36989
58	2300	36695
59	2339	36644
60	2370	36494
61	2401	36339
62	2443	36345
63	2480	36275
64	2511	36125
65	2557	36186
66	2598	36179
67	2641	36206
68	2677	36122
69	2713	36055
70	2751	36001
71	2815	36284
72	2852	36222
73	2877	36008
74	2903	35809
75	2933	35669
76	2960	35493
77	2993	35378
78	3020	35217
79	3058	35175
80	3085	35008
81	3110	34824
82	3149	34791
83	3175	34628
84	3198	34430
85	3234	34375
86	3267	34291
87	3294	34142
88	3331	34103
89	3360	33982
90	3385	33822
91	3420	33757
92	3453	33681
93	3474	33488
94	3497	33320
95	3523	33177
96	3552	33067
97	3575	32909
98	3598	32745
99	3627	32648
100	3661	32593
101	3688	32471
102	3718	32384
103	3751	32320
104	3790	32306
105	3847	32447
106	3887	32445
107	3932	32476
108	3975	32496
109	4007	32420
110	4043	32387
111	4072	32285
112	4158	32641
113	4183	32517
114	4215	32438
115	4246	32363
116	4283	32326
117	4320	32296
118	4352	32223
119	4376	32095
120	4404	31996
121	4440	31954
122	4461	31809
123	4534	32030
124	4581	32067
125	4639	32179
126	4678	32160
127	4724	32187
128	4754	32104
129	4787	32041
130	4830	32041
131	4873	32047
132	4909	32001
133	4948	31982
134	4994	32002
135	5043	32039
136133	7465	482137134	7560	484138135	7652	48618
136	7696	48484
137	7735	48318
138	7799	48309
139	7843	48180
140	7876	47984
141	7924	47882
142	7983	47845
143	8061	47918
144	8116	47860
145	8165	47764
146	8231	47762
147	8262	47564
148	8310	47462
149	8353	47337
150	8405	47259
151	8452	47155
152	8495	47029
153	8531	46870
154	8570	46722
155	8611	46592
156	8660	46500
157	8715	46447
158	8747	46265
159	8796	46180
160	8830	46015
161	8867	45871
162	8909	45750
163	8944	45594
164	8983	45464
165	9030	45370
166	9072	45251
167	9125	45194
168	9164	45062
169	9211	44972
170	9246	44826
171	9291	44726
172	9336	44632
173	9381	44533
174	9429	44452
175	9466	44321
176	9510	44222
177	9564	44169
178	9613	44092
179	9647	43950
180	9693	43859
181	9737	43764
182	9775	43644
183	9818	43540
184	9860	43439
185	9893	43295
186	9930	43172
187	9961	43026
188	10004	42929
189	10044	42821
190	10080	42698
191	10120	42589
192	10162	42494
193	10199	42373
194	10235	42253
195	10264	42104
196	10299	41981
197	10343	41896
198	10381	41786
199	10425	41701
200	10459	41578
201	10495	41461
202	10540	41385
203	10574	41259
204	10616	41172
205	10659	41085
206	10695	40973
207	10733	40871
208	10782	40809
209	10817	40694
210	10852	40582
211	10893	40492
212	10930	40386
213	10967	40281
214	11010	40201
215	11052	40116
216	11087	40005
217	11130	39927
218	11169	39833
219	11208	39740
220	11247	39647
221	11285	39550
222	11326	39466
223	11368	39382
224	11408	39296
225	11442	39188
226	11484	39109
227	11518	39002
228	11563	38933
229	11615	38885
230	11652	38790
231	11689	38694
232	11721	38586
233	11755	38483
234	11792	38387
235	11827	38287
236	11859	38180
237	11887	38059
238	11923	37966
239	11962	37880
240	12011	37829
241	12043	37723
242	12078	37627
243	12111	37526
244	12148	37436
245	12177	37323
246	12229	37283
247	12292	37273
248	12328	37185
249	12360	37080
250	12387	36964
251	12418	36862
252	12456	36777
253	12489	36681
254	12521	36582
255	12560	36502
256	12590	36399
257	12637	36346
258	12663	36230
259	12696	36135
260	12727	36035
261	12766	35960
262	12806	35888
263	12844	35809
264	12883	35732
265	12928	35676
266	12960	35580
267	12991	35483
268	13026	35400
269	13061	35314
270	13095	35227
271	13132	35148
272	13181	35102
273	13213	35011
274	13256	34948
275	13297	34882
276	13329	34791
277	13370	34723
278	13413	34663
279	13445	34574
280	13480	34492
281	13508	34393
282	13535	34293
283	13590	34262
284	13618	34166
285	13657	34096
286	13688	34007
287	13716	33911
288	13750	33828
289	13784	33749
290	13832	33702
291	13863	33614
292	13894	33527
293	13921	33431
294	13952	33343
295	13991	33277
296	14027	33203
